category,label,tp,fp,fn,precision,recall,f1
edge,CALLS,327832,4,3318,1.0,0.99,0.995
edge,CONTAINS_FILE,12100,0,0,1.0,1.0,1.0
edge,CONTAINS_FOLDER,50,0,0,1.0,1.0,1.0
edge,CONTAINS_MODULE,12075,0,0,1.0,1.0,1.0
edge,CONTAINS_PACKAGE,475,0,0,1.0,1.0,1.0
edge,DEFINES,77125,0,0,1.0,1.0,1.0
edge,DEFINES_METHOD,100375,0,0,1.0,1.0,1.0
edge,IMPORTS,82001,7,599,0.9999,0.9927,0.9963
edge,INHERITS,3925,0,0,1.0,1.0,1.0
edge,INSTANTIATES,25086,0,414,1.0,0.9838,0.9918
edge,OVERRIDES,1625,0,0,1.0,1.0,1.0
node,Class,23550,0,0,1.0,1.0,1.0
node,File,12100,0,0,1.0,1.0,1.0
node,Folder,50,0,0,1.0,1.0,1.0
node,Function,53575,0,0,1.0,1.0,1.0
node,Method,100375,0,0,1.0,1.0,1.0
node,Module,16800,0,0,1.0,1.0,1.0
node,Package,475,0,0,1.0,1.0,1.0
node,Project,25,0,0,1.0,1.0,1.0
